date,item,pred
2022-06-13,Saag Paneer,1.641436396536695
2022-06-14,Saag Paneer,1.5770952108521965
2022-06-15,Saag Paneer,1.402480136804977
2022-06-16,Saag Paneer,1.8251379133979926
2022-06-17,Saag Paneer,1.7374871742366529
2022-06-18,Saag Paneer,1.9341662499010284
2022-06-19,Saag Paneer,1.6296466084230032
2022-06-10,Aloo Chaat,2.342657796686496
2022-06-11,Aloo Chaat,2.2523593238536144
2022-06-12,Aloo Chaat,2.8618438232476353
2022-06-13,Aloo Chaat,2.448324519075954
2022-06-14,Aloo Chaat,2.218913952483808
2022-06-15,Aloo Chaat,2.2024384179494296
2022-06-16,Aloo Chaat,1.8343531603460665
2022-06-17,Aloo Chaat,2.0605170292659296
2022-06-18,Aloo Chaat,2.0267159675099053
2022-06-19,Aloo Chaat,2.696074238742111
2022-06-10,Chicken Pakora,1.297070244011206
2022-06-11,Chicken Pakora,1.3824921213174366
2022-06-12,Chicken Pakora,1.2771244131326895
2022-06-13,Chicken Pakora,1.1990357222472916
2022-06-14,Chicken Pakora,1.6394624911072022
2022-06-15,Chicken Pakora,1.2138881152006096
2022-06-16,Chicken Pakora,1.2597284222279344
2022-06-17,Chicken Pakora,1.4596023791134085
2022-06-18,Chicken Pakora,1.5448486974223457
2022-06-19,Chicken Pakora,1.434294157475272
2022-06-10,Chicken Chilli Garlic,0.8409116270302501
2022-06-11,Chicken Chilli Garlic,1.0297846794497478
2022-06-12,Chicken Chilli Garlic,1.0598601692432892
2022-06-13,Chicken Chilli Garlic,0.6150667121216481
2022-06-14,Chicken Chilli Garlic,0.6163617169550596
2022-06-15,Chicken Chilli Garlic,0.9443857609235224
2022-06-16,Chicken Chilli Garlic,0.6467354738244998
2022-06-17,Chicken Chilli Garlic,0.8390619326953224
2022-06-18,Chicken Chilli Garlic,1.0279349851151927
2022-06-19,Chicken Chilli Garlic,1.0580104749091763
2022-06-10,Lamb Biryani,0.748734534390131
2022-06-11,Lamb Biryani,0.5799985819466867
2022-06-12,Lamb Biryani,0.4809413148770322
2022-06-13,Lamb Biryani,0.5264339380494861
2022-06-14,Lamb Biryani,0.6950820767341628
2022-06-15,Lamb Biryani,0.713291050844657
2022-06-16,Lamb Biryani,0.7679990370088969
2022-06-17,Lamb Biryani,0.8544708202001448
2022-06-18,Lamb Biryani,0.6922400886170574
2022-06-19,Lamb Biryani,0.5989300091255573
2022-06-10,Keema Naan,3.0399426551462336
2022-06-11,Keema Naan,2.9457533491102095
2022-06-12,Keema Naan,2.434446681195297
2022-06-13,Keema Naan,2.2900450584527414
2022-06-14,Keema Naan,2.1730646066293016
2022-06-15,Keema Naan,2.129214825189095
2022-06-16,Keema Naan,1.8143042552538715
2022-06-17,Keema Naan,2.7773894909745382
2022-06-18,Keema Naan,2.6686036617558413
2022-06-19,Keema Naan,2.1460498518848765
2022-06-10,Red Sauce,2.4483922175531085
2022-06-11,Red Sauce,2.6316949962903418
2022-06-12,Red Sauce,2.0886467319828563
2022-06-13,Red Sauce,2.078369889617072
2022-06-14,Red Sauce,1.9840962968805815
2022-06-15,Red Sauce,1.9679524665329549
2022-06-16,Red Sauce,2.146608055974037
2022-06-17,Red Sauce,2.508350989268933
2022-06-18,Red Sauce,2.7077399073233543
2022-06-19,Red Sauce,2.1785502378230213
2022-06-10,Korma - Prawn,2.862721607369676
2022-06-11,Korma - Prawn,3.268182979287526
2022-06-12,Korma - Prawn,2.7120542510437313
2022-06-13,Korma - Prawn,2.8673626398428933
2022-06-14,Korma - Prawn,2.746331555171817
2022-06-15,Korma - Prawn,2.7476585450596938
2022-06-16,Korma - Prawn,2.7152887257010683
2022-06-17,Korma - Prawn,2.872010977126278
2022-06-18,Korma - Prawn,3.277472349043651
2022-06-19,Korma - Prawn,2.7213436208004538
2022-06-10,Peshwari Naan,3.7666746295684637
2022-06-11,Peshwari Naan,4.195804452600112
2022-06-12,Peshwari Naan,3.5004069107995575
2022-06-13,Peshwari Naan,2.723398821846729
2022-06-14,Peshwari Naan,3.1919530257103053
2022-06-15,Peshwari Naan,2.780366314952441
2022-06-16,Peshwari Naan,3.0652961860669867
2022-06-17,Peshwari Naan,3.5709747088264345
2022-06-18,Peshwari Naan,3.9668524091507287
2022-06-19,Peshwari Naan,3.244540527133333
2022-06-10,Pilau Rice,15.586849879855292
2022-06-11,Pilau Rice,16.327827139598348
2022-06-12,Pilau Rice,11.789593419179944
2022-06-13,Pilau Rice,10.347438912515178
2022-06-14,Pilau Rice,10.28900817697981
2022-06-15,Pilau Rice,10.303492432607891
2022-06-16,Pilau Rice,10.674142088359531
2022-06-17,Pilau Rice,15.370462763690576
2022-06-18,Pilau Rice,16.12266270417154
2022-06-19,Pilau Rice,11.600472042239087
2022-06-10,Chicken Balti,1.595869002042094
2022-06-11,Chicken Balti,1.4335192796357175
2022-06-12,Chicken Balti,1.3132916815195903
2022-06-13,Chicken Balti,1.270901548958851
2022-06-14,Chicken Balti,1.34076369452454
2022-06-15,Chicken Balti,1.5687443672474324
2022-06-16,Chicken Balti,1.3764390622543845
2022-06-17,Chicken Balti,1.560178553387774
2022-06-18,Chicken Balti,1.413103657102018
2022-06-19,Chicken Balti,1.3099079420549802
2022-06-10,Special Fried Rice,1.093596187478601
2022-06-11,Special Fried Rice,1.3600535377437946
2022-06-12,Special Fried Rice,1.1209320528509603
2022-06-13,Special Fried Rice,1.082346767254562
2022-06-14,Special Fried Rice,1.1997923404532413
2022-06-15,Special Fried Rice,0.9063350493077003
2022-06-16,Special Fried Rice,1.0266779323114548
2022-06-17,Special Fried Rice,1.3660083607099724
2022-06-18,Special Fried Rice,1.6609615950456456
2022-06-19,Special Fried Rice,1.4442613844798118
2022-06-10,Chicken Tikka Masala,3.46846844762146
2022-06-11,Chicken Tikka Masala,4.085886024526518
2022-06-12,Chicken Tikka Masala,2.74217965440019
2022-06-13,Chicken Tikka Masala,2.251673728976587
2022-06-14,Chicken Tikka Masala,2.2208714467783475
2022-06-15,Chicken Tikka Masala,2.556518227487811
2022-06-16,Chicken Tikka Masala,2.249136243099128
2022-06-17,Chicken Tikka Masala,3.727200857602135
2022-06-18,Chicken Tikka Masala,4.339253370616894
2022-06-19,Chicken Tikka Masala,2.9835199736082765
2022-06-10,Curry - Lamb,1.624537282718387
2022-06-11,Curry - Lamb,1.8096653533120755
2022-06-12,Curry - Lamb,1.5387416534277114
2022-06-13,Curry - Lamb,1.4926292703551225
2022-06-14,Curry - Lamb,1.3422393476351386
2022-06-15,Curry - Lamb,1.5238632278185968
2022-06-16,Curry - Lamb,1.5302805886982105
2022-06-17,Curry - Lamb,1.6263649911077105
2022-06-18,Curry - Lamb,1.811493061701341
2022-06-19,Curry - Lamb,1.5405693618172311
2022-06-10,Vegetable Rice,1.361849797364271
2022-06-11,Vegetable Rice,1.0732847533010188
2022-06-12,Vegetable Rice,1.381191800372913
2022-06-13,Vegetable Rice,1.029280131165633
2022-06-14,Vegetable Rice,0.8675686405957765
2022-06-15,Vegetable Rice,0.9787714263646536
2022-06-16,Vegetable Rice,0.7106369247045687
2022-06-17,Vegetable Rice,1.1003544666286467
2022-06-18,Vegetable Rice,0.8575557457617202
2022-06-19,Vegetable Rice,1.214760721117025
2022-06-10,Saag - Prawn,1.0
2022-06-11,Saag - Prawn,1.0
2022-06-12,Saag - Prawn,1.0
2022-06-13,Saag - Prawn,1.0
2022-06-14,Saag - Prawn,1.0
2022-06-15,Saag - Prawn,1.0
2022-06-16,Saag - Prawn,1.0
2022-06-17,Saag - Prawn,1.0
2022-06-18,Saag - Prawn,1.0
2022-06-19,Saag - Prawn,1.0
2022-06-10,Tandoori Chicken Masala,0.8268356543026667
2022-06-11,Tandoori Chicken Masala,1.1021361682386683
2022-06-12,Tandoori Chicken Masala,1.0853834633404296
2022-06-13,Tandoori Chicken Masala,0.7931101322029299
2022-06-14,Tandoori Chicken Masala,0.891831965146834
2022-06-15,Tandoori Chicken Masala,0.9796967514619603
2022-06-16,Tandoori Chicken Masala,0.9946282841109745
2022-06-17,Tandoori Chicken Masala,0.9796081295631319
2022-06-18,Tandoori Chicken Masala,1.2619460715614796
2022-06-19,Tandoori Chicken Masala,1.2488008840720874
2022-06-10,Lamb Tikka Chilli Masala,0.6184178854447113
2022-06-11,Lamb Tikka Chilli Masala,0.6943679791088473
2022-06-12,Lamb Tikka Chilli Masala,1.164020320686613
2022-06-13,Lamb Tikka Chilli Masala,0.21710062828030097
2022-06-14,Lamb Tikka Chilli Masala,0.05934646662890708
2022-06-15,Lamb Tikka Chilli Masala,0.43223953791262426
2022-06-16,Lamb Tikka Chilli Masala,0.8634929352881464
2022-06-17,Lamb Tikka Chilli Masala,0.482481344496273
2022-06-18,Lamb Tikka Chilli Masala,0.5566031876058912
2022-06-19,Lamb Tikka Chilli Masala,1.031795888550929
2022-06-10,Saag Aloo,2.711672174040624
2022-06-11,Saag Aloo,3.2083621075769257
2022-06-12,Saag Aloo,2.3925604023428364
2022-06-13,Saag Aloo,2.2923754427270904
2022-06-14,Saag Aloo,2.1523828688715065
2022-06-15,Saag Aloo,2.1477694844916426
2022-06-16,Saag Aloo,2.24835653661005
2022-06-17,Saag Aloo,2.6330763656694716
2022-06-18,Saag Aloo,3.1370222979144033
2022-06-19,Saag Aloo,2.329547066359407
2022-06-10,Aloo Gobi,1.8873707858636493
2022-06-11,Aloo Gobi,1.6722143528160873
2022-06-12,Aloo Gobi,1.5316188266163662
2022-06-13,Aloo Gobi,1.4689910908765598
2022-06-14,Aloo Gobi,1.6148576286591174
2022-06-15,Aloo Gobi,1.446765478693084
2022-06-16,Aloo Gobi,1.4353808440284064
2022-06-17,Aloo Gobi,1.8770585965627804
2022-06-18,Aloo Gobi,1.6668490706705967
2022-06-19,Aloo Gobi,1.5309591115871908
2022-06-10,Bhindi Bhajee,1.0796697895423588
2022-06-11,Bhindi Bhajee,0.9715442322903918
2022-06-12,Bhindi Bhajee,0.7000247441051171
2022-06-13,Bhindi Bhajee,0.6313759739621544
2022-06-14,Bhindi Bhajee,0.6179649343786731
2022-06-15,Bhindi Bhajee,0.6819083980685465
2022-06-16,Bhindi Bhajee,0.6239753628549374
2022-06-17,Bhindi Bhajee,0.624134936233392
2022-06-18,Bhindi Bhajee,0.5462247859669498
2022-06-19,Bhindi Bhajee,0.3134723382381974
2022-06-10,Mint Sauce,4.316079167923857
2022-06-11,Mint Sauce,4.247795955925296
2022-06-12,Mint Sauce,3.3405186686986017
2022-06-13,Mint Sauce,3.233633366986155
2022-06-14,Mint Sauce,3.161272306412963
2022-06-15,Mint Sauce,3.192365299145296
2022-06-16,Mint Sauce,2.9823438641057827
2022-06-17,Mint Sauce,4.427897794875656
2022-06-18,Mint Sauce,4.356906143138376
2022-06-19,Mint Sauce,3.44499349190309
2022-06-10,Chicken Biryani,0.13134422535192602
2022-06-11,Chicken Biryani,0.12419654493401028
2022-06-12,Chicken Biryani,0.8311888240057705
2022-06-13,Chicken Biryani,0.40279304966015766
2022-06-14,Chicken Biryani,0.12639532004423049
2022-06-15,Chicken Biryani,0.09343134833097633
2022-06-16,Chicken Biryani,0.050906980517586964
2022-06-17,Chicken Biryani,0.08191586988634025
2022-06-18,Chicken Biryani,0.30478959230737657
2022-06-19,Chicken Biryani,0.6844447234848889
2022-06-10,Madras - Chicken Tikka,1.043054277534562
2022-06-11,Madras - Chicken Tikka,0.8005571994692683
2022-06-12,Madras - Chicken Tikka,0.8473977594164497
2022-06-13,Madras - Chicken Tikka,0.6709395721694797
2022-06-14,Madras - Chicken Tikka,0.6759399958537529
2022-06-15,Madras - Chicken Tikka,0.6752376089893563
2022-06-16,Madras - Chicken Tikka,0.8129839586226235
2022-06-17,Madras - Chicken Tikka,1.0413396970237307
2022-06-18,Madras - Chicken Tikka,0.7988426189584994
2022-06-19,Madras - Chicken Tikka,0.8456831789060097
2022-06-10,Bombay Aloo,4.2447496595338485
2022-06-11,Bombay Aloo,4.704237310065301
2022-06-12,Bombay Aloo,3.4514533042096027
2022-06-13,Bombay Aloo,3.0261823015102265
2022-06-14,Bombay Aloo,2.8969749159951976
2022-06-15,Bombay Aloo,3.095725344263881
2022-06-16,Bombay Aloo,2.9014633008345694
2022-06-17,Bombay Aloo,4.054773247965416
2022-06-18,Bombay Aloo,4.496468341589712
2022-06-19,Bombay Aloo,3.2308005249943283
2022-06-10,Onion Bhajee,5.324592179062038
2022-06-11,Onion Bhajee,6.582221096076073
2022-06-12,Onion Bhajee,4.707361659138331
2022-06-13,Onion Bhajee,4.350452197861387
2022-06-14,Onion Bhajee,3.7614603715951134
2022-06-15,Onion Bhajee,4.032927552008198
2022-06-16,Onion Bhajee,3.7567391876692326
2022-06-17,Onion Bhajee,5.247538172424844
2022-06-18,Onion Bhajee,6.499849655734432
2022-06-19,Onion Bhajee,4.619990153459481
2022-06-10,Sheek Kebab,0.7998727731718123
2022-06-11,Sheek Kebab,1.025332999585912
2022-06-12,Sheek Kebab,0.827545841941214
2022-06-13,Sheek Kebab,1.0574176590861706
2022-06-14,Sheek Kebab,0.6675549110781365
2022-06-15,Sheek Kebab,0.6394093260672169
2022-06-16,Sheek Kebab,0.7992640636326789
2022-06-17,Sheek Kebab,0.7601939618596902
2022-06-18,Sheek Kebab,1.0163995908448444
2022-06-19,Sheek Kebab,0.8492765748873767
2022-06-10,Onion Chutney,3.185757363930559
2022-06-11,Onion Chutney,3.2156951446236697
2022-06-12,Onion Chutney,2.4339484113149887
2022-06-13,Onion Chutney,2.492951855202156
2022-06-14,Onion Chutney,1.8039563054183738
2022-06-15,Onion Chutney,2.187149549728137
2022-06-16,Onion Chutney,2.0901525939052514
2022-06-17,Onion Chutney,3.058151044054027
2022-06-18,Onion Chutney,3.1023134612859034
2022-06-19,Onion Chutney,2.3363286023943166
2022-06-10,Chicken Tikka (Main),2.4145706094113764
2022-06-11,Chicken Tikka (Main),2.337615001667433
2022-06-12,Chicken Tikka (Main),2.158031596766846
2022-06-13,Chicken Tikka (Main),1.991192329136279
2022-06-14,Chicken Tikka (Main),2.0481771895739667
2022-06-15,Chicken Tikka (Main),1.9609095906718677
2022-06-16,Chicken Tikka (Main),1.9069400982549611
2022-06-17,Chicken Tikka (Main),2.4643654407818216
2022-06-18,Chicken Tikka (Main),2.434429076589618
2022-06-19,Chicken Tikka (Main),2.3020914311885003
2022-06-10,Korma - Chicken,10.844516575634962
2022-06-11,Korma - Chicken,10.43536901313637
2022-06-12,Korma - Chicken,8.848181728991733
2022-06-13,Korma - Chicken,8.340846619071689
2022-06-14,Korma - Chicken,8.476762327362128
2022-06-15,Korma - Chicken,8.076860531344696
2022-06-16,Korma - Chicken,8.670265194083631
2022-06-17,Korma - Chicken,10.877117649397483
2022-06-18,Korma - Chicken,10.46797008689733
2022-06-19,Korma - Chicken,8.880782802757595
2022-06-10,Plain Rice,5.989769504637907
2022-06-11,Plain Rice,5.152550166003821
2022-06-12,Plain Rice,4.61383163027532
2022-06-13,Plain Rice,4.01052809438384
2022-06-14,Plain Rice,4.187477003383386
2022-06-15,Plain Rice,4.396076893798118
2022-06-16,Plain Rice,4.348229873078651
2022-06-17,Plain Rice,6.226097161792979
2022-06-18,Plain Rice,5.4018472327020275
2022-06-19,Plain Rice,4.871525570349171
2022-06-10,French Fries,1.190616650267228
2022-06-11,French Fries,1.205880197945246
2022-06-12,French Fries,1.2599533286477196
2022-06-13,French Fries,0.7438374946366935
2022-06-14,French Fries,0.7577372191208394
2022-06-15,French Fries,0.8742950373596721
2022-06-16,French Fries,0.9113492948882516
2022-06-17,French Fries,0.9873329579851434
2022-06-18,French Fries,1.0158449946442638
2022-06-19,French Fries,1.0877127652081198
2022-06-10,Meat Samosa,2.828529814130644
2022-06-11,Meat Samosa,2.9110197967081604
2022-06-12,Meat Samosa,3.320022856757244
2022-06-13,Meat Samosa,2.593732591294681
2022-06-14,Meat Samosa,2.085849919594084
2022-06-15,Meat Samosa,2.473004430266371
2022-06-16,Meat Samosa,2.3280724767571406
2022-06-17,Meat Samosa,2.6256760814496336
2022-06-18,Meat Samosa,2.7539226501808005
2022-06-19,Meat Samosa,3.2167526293009585
2022-06-10,Keema Rice,1.2665432715307055
2022-06-11,Keema Rice,1.3970352582296197
2022-06-12,Keema Rice,1.3181121437976864
2022-06-13,Keema Rice,1.319841084102726
2022-06-14,Keema Rice,1.117097651441842
2022-06-15,Keema Rice,1.5790741042348997
2022-06-16,Keema Rice,1.23079263014546
2022-06-17,Keema Rice,1.3455561901589246
2022-06-18,Keema Rice,1.4777100438484092
2022-06-19,Keema Rice,1.398177474792711
2022-06-10,Lamb Hari Mirch,1.585961217436768
2022-06-11,Lamb Hari Mirch,1.3562006779255196
2022-06-12,Lamb Hari Mirch,1.4009973273023026
2022-06-13,Lamb Hari Mirch,1.13442539113779
2022-06-14,Lamb Hari Mirch,2.5978591523741628
2022-06-15,Lamb Hari Mirch,1.2593006129625337
2022-06-16,Lamb Hari Mirch,1.2742902434440833
2022-06-17,Lamb Hari Mirch,1.2642946503666221
2022-06-18,Lamb Hari Mirch,0.9546294227430783
2022-06-19,Lamb Hari Mirch,0.922171205452194
2022-06-10,Mushroom Bhajee,0.9663356871737617
2022-06-11,Mushroom Bhajee,1.3364582743598452
2022-06-12,Mushroom Bhajee,1.1367211244894615
2022-06-13,Mushroom Bhajee,1.019884231509287
2022-06-14,Mushroom Bhajee,0.9914756665617166
2022-06-15,Mushroom Bhajee,0.8062041315623774
2022-06-16,Mushroom Bhajee,1.0752418912591457
2022-06-17,Mushroom Bhajee,0.9578803704772083
2022-06-18,Mushroom Bhajee,1.3456501793948177
2022-06-19,Mushroom Bhajee,1.1648080595433237
2022-06-10,Curry - Chicken,3.021522985993645
2022-06-11,Curry - Chicken,3.6409476880052294
2022-06-12,Curry - Chicken,2.974801188705082
